Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Leader_speed,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
69,-33.664593,-19.673948,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-30.609987,-19.660503,-28.82209,-20.94413,0.5439953
70,-34.13874,-19.951046,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-31.082428,-19.930185,-29.296238,-21.221228,0.5439932
71,-34.61289,-20.228144,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-31.554867,-20.199875,-29.770386,-21.498325,0.5439953
72,-35.087036,-20.505241,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-32.0273,-20.469576,-30.244534,-21.775423,0.54399765
73,-35.561184,-20.78234,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-32.499737,-20.739288,-30.718681,-22.05252,0.5440033
74,-36.03533,-21.059437,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-32.972168,-21.009016,-31.19283,-22.329618,0.5440076
75,-36.50948,-21.336535,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-33.4446,-21.278763,-31.666977,-22.606716,0.544017
76,-36.983627,-21.613632,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-33.917034,-21.548529,-32.141125,-22.883814,0.54402983
77,-37.457775,-21.89073,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-34.38947,-21.818317,-32.615273,-23.160912,0.54404116
78,-37.931923,-22.167828,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-34.861908,-22.08813,-33.08942,-23.43801,0.5440568
79,-38.40607,-22.444925,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-35.33435,-22.35797,-33.56357,-23.715107,0.5440724
80,-38.88022,-22.722023,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-35.8068,-22.627836,-34.037716,-23.992205,0.5440932
81,-39.354366,-22.99912,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-36.27926,-22.897732,-34.511864,-24.269302,0.54411405
82,-39.828514,-23.276218,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-36.75172,-23.167656,-34.98601,-24.5464,0.5441315
83,-40.30266,-23.553316,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-37.224194,-23.437613,-35.46016,-24.823498,0.5441575
84,-40.77681,-23.830414,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-37.696674,-23.707602,-35.934307,-25.100595,0.5441803
85,-41.250957,-24.107512,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-38.169163,-23.977623,-36.408455,-25.377693,0.544203
86,-41.725105,-24.38461,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-38.641666,-24.24768,-36.882603,-25.65479,0.5442342
87,-42.199253,-24.661707,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-39.114178,-24.517769,-37.35675,-25.931889,0.544256
88,-42.6734,-24.938805,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-39.586704,-24.787895,-37.8309,-26.208986,0.54428816
89,-43.14755,-25.215902,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-40.059242,-25.058054,-38.305046,-26.486084,0.54431415
90,-43.621696,-25.493,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-40.53179,-25.328249,-38.779194,-26.763182,0.5443421
91,-44.095844,-25.770098,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-41.004353,-25.598478,-39.25334,-27.04028,0.5443691
92,-44.569992,-26.047195,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-41.47693,-25.868746,-39.72749,-27.317377,0.5444012
93,-45.04414,-26.324293,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-41.94952,-26.13905,-40.201637,-27.594475,0.5444325
94,-45.518288,-26.60139,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-42.422127,-26.40939,-40.675785,-27.871572,0.54446375
95,-45.992435,-26.878489,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-42.89475,-26.679762,-41.149933,-28.14867,0.5444931
96,-46.466583,-27.155586,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-43.367382,-26.950172,-41.62408,-28.425768,0.5445219
97,-46.94073,-27.432684,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-43.84003,-27.220617,-42.09823,-28.702866,0.54455227
98,-47.41488,-27.709782,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-44.312695,-27.491098,-42.572376,-28.979963,0.5445835
99,-46.719753,-27.097567,0.7504442916331018,0.6609337070805907,0.6601903015204685,-44.78537,-27.761614,-51.71603,-26.780699,0.5446105
0,-46.024628,-26.485352,0.7504442916331018,0.6609337070805907,0.6601903015204685,-44.4871,-27.511208,-51.020905,-26.168484,0.38944703
0,-45.329502,-25.873137,0.7504442916331018,0.6609337070805907,0.6601903015204685,-44.20761,-27.237404,-50.32578,-25.556269,0.3912567
1,-44.634377,-25.260921,0.7504442916331018,0.6609337070805907,0.6601903015204685,-43.946625,-26.941353,-49.630653,-24.944054,0.39466453
2,-43.93925,-24.648706,0.7504442916331018,0.6609337070805907,0.6601903015204685,-43.7034,-26.624107,-48.935528,-24.331839,0.39975387
3,-43.244125,-24.036491,0.7504442916331018,0.6609337070805907,0.6601903015204685,-43.475845,-26.286896,-48.240402,-23.719624,0.40680787
4,-42.549,-23.424276,0.7504442916331018,0.6609337070805907,0.6601903015204685,-43.259624,-25.930351,-47.545277,-23.107409,0.41698372
5,-41.853874,-22.812061,0.7504442916331018,0.6609337070805907,0.6601903015204685,-43.046345,-25.55241,-46.85015,-22.495193,0.43396744
6,-41.15875,-22.199846,0.7504442916331018,0.6609337070805907,0.6601903015204685,-42.81964,-25.145084,-46.155025,-21.882978,0.46616393
7,-40.463623,-21.587631,0.7504442916331018,0.6609337070805907,0.6601903015204685,-42.551052,-24.692015,-45.4599,-21.270763,0.52669936
8,-39.768497,-20.975416,0.7504442916331018,0.6609337070805907,0.6601903015204685,-42.205856,-24.173416,-44.764774,-20.658548,0.6229804
9,-39.07337,-20.363201,0.7504442916331018,0.6609337070805907,0.6601903015204685,-41.765198,-23.581404,-44.06965,-20.046333,0.7380099
10,-38.378246,-19.750986,0.7504442916331018,0.6609337070805907,0.6601903015204685,-41.23805,-22.927279,-43.374523,-19.434118,0.84009886
11,-37.68312,-19.138771,0.7504442916331018,0.6609337070805907,0.6601903015204685,-40.64649,-22.230873,-42.679398,-18.821903,0.9137418
12,-36.987995,-18.526556,0.7504442916331018,0.6609337070805907,0.6601903015204685,-40.01096,-21.510185,-41.984272,-18.209688,0.96087855
13,-36.29287,-17.914341,0.7504442916331018,0.6609337070805907,0.6601903015204685,-39.346756,-20.778704,-41.289146,-17.597473,0.9880444
14,-35.597744,-17.302126,0.7504442916331018,0.6609337070805907,0.6601903015204685,-38.664993,-20.045855,-40.59402,-16.985258,1.0009336
15,-34.90262,-16.68991,0.7504442916331018,0.6609337070805907,0.6601903015204685,-37.973953,-19.317717,-39.898895,-16.373043,1.0038532
16,-34.207493,-16.077696,0.7504442916331018,0.6609337070805907,0.6601903015204685,-37.279964,-18.597492,-39.20377,-15.760828,1.0001718
